Name,Manufacturer,Technology,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,gamma_r
Mate Solar Co  Ltd_ MS555M-72HB,Mate Solar Co_ Ltd,Mono-c-Si,555,522,2.58,,,72,14.03,49.9,13.5,41.1,0.054,-0.26,45.8,-0.304
Mate Solar Co  Ltd_ MS560M-72HB,Mate Solar Co_ Ltd,Mono-c-Si,560,526.8,2.58,,,72,14.1,50,13.59,41.2,0.054,-0.26,45.8,-0.304
Mate Solar Co  Ltd_ MS565M-72HB,Mate Solar Co_ Ltd,Mono-c-Si,565,531.7,2.58,,,72,14.17,50.1,13.68,41.3,0.054,-0.26,45.8,-0.304
Mate Solar Co  Ltd_ MS570M-72HB,Mate Solar Co_ Ltd,Mono-c-Si,570,536.5,2.58,,,72,14.24,50.2,13.77,41.4,0.054,-0.26,45.8,-0.304
Maxeon Solar Technologies Ltd_ SPR-X21-335-BLK,Maxeon Solar Technologies Ltd,Mono-c-Si,335,313.5,1.63,,,96,6.23,67.9,5.85,57.3,0.0347,-0.2824,45.3,-0.3306
Maxeon Solar Technologies Ltd_ SPR-X21-350-BLK,Maxeon Solar Technologies Ltd,Mono-c-Si,350,327.9,1.63,,,96,6.5,68.2,5.99,58.4,0.0347,-0.2824,45.3,-0.3306
Maxeon Solar Technologies Ltd_ SPR-MAX3-380-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,380,353.3,1.77,,,104,6.54,75.2,6.02,63.1,0.038,-0.228,47,-0.34
Maxeon Solar Technologies Ltd_ SPR-MAX3-390-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,390,362.8,1.77,,,104,6.55,75.3,6.05,64.5,0.038,-0.228,47,-0.34
Maxeon Solar Technologies Ltd_ SPR-MAX3-395-BLK,Maxeon Solar Technologies Ltd,Mono-c-Si,395,374.6,1.9,,,112,6.29,81.22,5.71,69.12,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-395-BLK-R,Maxeon Solar Technologies Ltd,Mono-c-Si,395,372.9,1.9,,,112,12.58,40.61,11.46,34.46,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-395-COM-R,Maxeon Solar Technologies Ltd,Mono-c-Si,395,372.9,1.9,,,112,13.04,40.52,11.73,33.67,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-395-R,Maxeon Solar Technologies Ltd,Mono-c-Si,395,372.9,1.9,,,112,13.04,40.52,11.73,33.67,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-400,Maxeon Solar Technologies Ltd,Mono-c-Si,400,379.4,1.9,,,112,6.53,81.09,5.88,67.98,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-400-BLK,Maxeon Solar Technologies Ltd,Mono-c-Si,400,379.4,1.9,,,112,6.3,81.26,5.75,69.55,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-400-BLK-R,Maxeon Solar Technologies Ltd,Mono-c-Si,400,377.7,1.9,,,112,12.6,40.63,11.54,34.67,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-400-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,400,372.4,1.77,,,104,6.57,75.4,6.07,66,0.038,-0.228,47,-0.34
Maxeon Solar Technologies Ltd_ SPR-MAX3-400-COM-R,Maxeon Solar Technologies Ltd,Mono-c-Si,400,377.7,1.9,,,112,13.06,40.55,11.81,33.88,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-400-R,Maxeon Solar Technologies Ltd,Mono-c-Si,400,377.7,1.9,,,112,13.06,40.55,11.81,33.88,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX6-400,Maxeon Solar Technologies Ltd,Mono-c-Si,400,376.9,1.87,,,66,10.86,48.1,10.12,39.53,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX3-405-BLK-R,Maxeon Solar Technologies Ltd,Mono-c-Si,405,382.5,1.9,,,112,12.62,40.65,11.61,34.89,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-405-COM-R,Maxeon Solar Technologies Ltd,Mono-c-Si,405,382.5,1.9,,,112,13.07,13.06,11.88,34.08,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-405-R,Maxeon Solar Technologies Ltd,Mono-c-Si,405,382.5,1.9,,,112,13.07,13.06,11.88,34.08,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX6-405,Maxeon Solar Technologies Ltd,Mono-c-Si,405,381.8,1.87,,,66,10.88,48.1,10.24,39.54,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX3-410,Maxeon Solar Technologies Ltd,Mono-c-Si,410,389.1,1.9,,,112,6.54,6.53,5.96,68.79,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-410-BLK,Maxeon Solar Technologies Ltd,Mono-c-Si,410,389.1,1.9,,,112,6.31,81.4,5.82,70.4,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-410-BLK-R,Maxeon Solar Technologies Ltd,Mono-c-Si,410,387.4,1.9,,,112,12.63,40.68,11.68,35.1,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-410-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,410,389.1,1.9,,,112,6.54,81.18,5.96,68.79,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-410-COM-R,Maxeon Solar Technologies Ltd,Mono-c-Si,410,387.4,1.9,,,112,13.09,40.59,11.96,34.29,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-410-R,Maxeon Solar Technologies Ltd,Mono-c-Si,410,387.4,1.9,,,112,13.09,40.59,11.96,34.29,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX6-410,Maxeon Solar Technologies Ltd,Mono-c-Si,410,386.6,1.87,,,66,10.89,48.15,10.24,40.03,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX3-415,Maxeon Solar Technologies Ltd,Mono-c-Si,415,393.9,1.9,,,112,6.55,81.23,6,69.2,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-415-BLK,Maxeon Solar Technologies Ltd,Mono-c-Si,415,393.9,1.9,,,112,6.32,81.4,5.86,70.8,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-415-BLK-R,Maxeon Solar Technologies Ltd,Mono-c-Si,415,392.2,1.9,,,112,12.64,40.7,11.75,35.31,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-415-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,415,393.9,1.9,,,112,6.55,81.23,6,69.2,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-415-COM-R,Maxeon Solar Technologies Ltd,Mono-c-Si,415,392.2,1.9,,,112,13.1,40.61,12.03,34.49,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-415-R,Maxeon Solar Technologies Ltd,Mono-c-Si,415,392.2,1.9,,,112,13.1,40.61,12.03,34.49,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX6-415,Maxeon Solar Technologies Ltd,Mono-c-Si,415,391.4,1.87,,,66,11.52,48.07,10.55,39.33,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX3-420,Maxeon Solar Technologies Ltd,Mono-c-Si,420,398.8,1.9,,,112,6.56,81.27,6.03,69.61,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-420-BLK,Maxeon Solar Technologies Ltd,Mono-c-Si,420,398.8,1.9,,,112,6.32,81.5,5.89,71.3,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-420-BLK-R,Maxeon Solar Technologies Ltd,Mono-c-Si,420,397,1.9,,,112,12.65,40.73,11.82,35.52,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-420-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,420,398.8,1.9,,,112,6.56,81.27,6.03,69.61,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX6-420,Maxeon Solar Technologies Ltd,Mono-c-Si,420,396.3,1.87,,,66,11.53,48.1,10.62,39.56,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX3-425,Maxeon Solar Technologies Ltd,Mono-c-Si,425,403.6,1.9,,,112,6.57,81.32,6.07,70.01,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-425-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,425,403.6,1.9,,,112,6.57,81.32,6.07,70.01,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-425-COM-R,Maxeon Solar Technologies Ltd,Mono-c-Si,425,401.9,1.9,,,112,13.13,40.66,12.18,34.9,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-425-R,Maxeon Solar Technologies Ltd,Mono-c-Si,425,401.9,1.9,,,112,13.13,40.66,12.18,34.9,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX6-425,Maxeon Solar Technologies Ltd,Mono-c-Si,425,401.1,1.87,,,66,11.55,48.13,10.68,39.8,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX3-430,Maxeon Solar Technologies Ltd,Mono-c-Si,430,408.5,1.9,,,112,6.57,81.36,6.11,70.42,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-430-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,430,408.5,1.9,,,112,6.57,81.36,6.11,70.42,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-430-COM-R,Maxeon Solar Technologies Ltd,Mono-c-Si,430,406.7,1.9,,,112,13.15,40.68,12.25,35.11,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-430-R,Maxeon Solar Technologies Ltd,Mono-c-Si,430,406.7,1.9,,,112,13.15,40.68,12.25,35.11,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX6-430,Maxeon Solar Technologies Ltd,Mono-c-Si,430,405.9,1.87,,,66,11.56,48.15,10.74,40.03,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX3-435,Maxeon Solar Technologies Ltd,Mono-c-Si,435,413.3,1.9,,,112,6.58,81.4,6.14,70.8,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-435-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,435,413.3,1.9,,,112,6.58,81.4,6.14,70.8,0.056,-0.233,45,-0.272
Maxeon Solar Technologies Ltd_ SPR-MAX3-435-COM-R,Maxeon Solar Technologies Ltd,Mono-c-Si,435,411.6,1.9,,,112,13.16,40.7,12.32,35.31,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX3-435-R,Maxeon Solar Technologies Ltd,Mono-c-Si,435,411.6,1.9,,,112,13.16,40.7,12.32,35.31,0.045,-0.234,46.01,-0.28
Maxeon Solar Technologies Ltd_ SPR-MAX6-435,Maxeon Solar Technologies Ltd,Mono-c-Si,435,410.8,1.87,,,66,11.57,48.18,10.82,40.26,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX6-440,Maxeon Solar Technologies Ltd,Mono-c-Si,440,415.6,1.87,,,66,11.58,48.21,10.87,40.49,0.042,-0.234,47.16,-0.276
Maxeon Solar Technologies Ltd_ SPR-MAX6-450-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,450,422.9,2.12,,,72,11.51,52.43,10.52,42.76,0.037,-0.236,46.51,-0.296
Maxeon Solar Technologies Ltd_ SPR-MAX6-455-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,455,427.7,2.12,,,72,11.52,52.45,10.58,42.99,0.037,-0.236,46.51,-0.296
Maxeon Solar Technologies Ltd_ SPR-MAX6-460-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,460,432.6,2.12,,,72,11.54,52.48,10.64,43.23,0.037,-0.236,46.51,-0.296
Maxeon Solar Technologies Ltd_ SPR-MAX6-465-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,465,437.4,2.12,,,72,11.55,52.51,10.7,43.46,0.037,-0.236,46.51,-0.296
Maxeon Solar Technologies Ltd_ SPR-MAX6-470-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,470,442.2,2.12,,,72,11.56,52.53,10.76,43.69,0.037,-0.236,46.51,-0.296
Maxeon Solar Technologies Ltd_ SPR-X21-470-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,470,438,2.16,,,128,6.45,91.5,6.06,77.6,0.0309,-0.2933,45.67,-0.352
Maxeon Solar Technologies Ltd_ SPR-X22-470-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,470,438,2.16,,,128,6.89,91.5,6.03,77.9,0.0309,-0.2933,45.7,-0.352
Maxeon Solar Technologies Ltd_ SPR-MAX6-475-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,475,447,2.12,,,72,11.57,52.56,10.82,43.92,0.037,-0.236,46.51,-0.296
Maxeon Solar Technologies Ltd_ SPR-X22-475-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,475,442.8,2.16,,,128,6.45,92.5,6.07,78.5,0.0309,-0.2933,45.7,-0.352
Maxeon Solar Technologies Ltd_ SPR-MAX6-480-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,480,451.9,2.12,,,72,11.58,52.59,10.87,44.15,0.037,-0.236,46.51,-0.296
Maxeon Solar Technologies Ltd_ SPR-X22-480-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,480,452.9,2.16,,,128,6.48,92.9,6.08,79,0.041,-0.236,46.23,-0.287
Maxeon Solar Technologies Ltd_ SPR-X22-485-COM,Maxeon Solar Technologies Ltd,Mono-c-Si,485,457.7,2.16,,,128,6.55,92.7,6.16,78.8,0.041,-0.236,46.23,-0.287
Maxeon Solar Technologies Ltd_ SPR-P5-495-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,495,444.6,2.6,,,115,14.55,46,13.42,36.9,0.046,-0.299,46.02,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-500-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,500,449.3,2.6,,,115,14.62,46.1,13.48,37.1,0.046,-0.299,46.02,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-505-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,505,453.9,2.6,,,115,14.68,46.1,13.55,37.3,0.046,-0.299,46.02,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-510-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,510,457.8,2.6,,,115,14.74,46.1,13.64,37.4,0.046,-0.299,46.35,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-515-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,515,462.5,2.6,,,115,14.75,46.3,13.66,37.7,0.046,-0.299,46.35,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-520-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,520,467.1,2.6,,,115,14.76,46.6,13.69,38,0.046,-0.299,46.35,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-525-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,525,472.6,2.6,,,115,14.77,46.8,13.71,38.3,0.046,-0.299,46.02,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-530-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,530,476.5,2.6,,,115,14.78,47.1,13.73,38.6,0.046,-0.299,46.35,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-535-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,535,481.2,2.6,,,115,14.79,47.4,13.76,38.9,0.046,-0.299,46.35,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-540-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,540,485.9,2.6,,,115,14.8,47.6,13.78,39.2,0.046,-0.299,46.35,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-545-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,545,490.5,2.6,,,115,14.83,47.8,13.81,39.5,0.046,-0.299,46.35,-0.493
Maxeon Solar Technologies Ltd_ SPR-P5-550-UPP,Maxeon Solar Technologies Ltd,Mono-c-Si,550,495.2,2.6,,,115,14.86,48,13.84,39.8,0.046,-0.299,46.35,-0.493
MECEN SOLAR VINA CO LTD MC7G54M H -395,MECEN SOLAR VINA CO_LTD,Mono-c-Si,395,366.3,1.952,,,54,13.69,36.8,12.81,30.9,0.045,-0.304,43.8,-0.402
MECEN SOLAR VINA CO LTD MC7G54M H -400,MECEN SOLAR VINA CO_LTD,Mono-c-Si,400,371.1,1.952,,,54,13.78,37,12.89,31.1,0.045,-0.304,43.8,-0.402
MECEN SOLAR VINA CO LTD MC7G54M H -405,MECEN SOLAR VINA CO_LTD,Mono-c-Si,405,375.9,1.952,,,54,13.86,37.3,12.97,31.2,0.045,-0.304,43.8,-0.402
MECEN SOLAR VINA CO LTD MC7G54M H -410,MECEN SOLAR VINA CO_LTD,Mono-c-Si,410,380.6,1.952,,,54,13.94,37.5,13.05,31.4,0.045,-0.304,43.8,-0.402
MECEN SOLAR VINA CO LTD MC7G54M H -415,MECEN SOLAR VINA CO_LTD,Mono-c-Si,415,385.4,1.952,,,54,14.02,37.8,13.13,31.6,0.045,-0.304,43.8,-0.402
MECEN SOLAR VINA CO LTD MC7G72M-530,MECEN SOLAR VINA CO_LTD,Mono-c-Si,530,489.2,2.59,,,72,13.72,49.32,12.83,41.32,0.0584,-0.2935,45.4,-0.3945
MECEN SOLAR VINA CO LTD MC7G72M-535,MECEN SOLAR VINA CO_LTD,Mono-c-Si,535,493.9,2.59,,,72,13.79,49.46,12.9,41.48,0.0584,-0.2935,45.4,-0.3945
MECEN SOLAR VINA CO LTD MC7G72M-540,MECEN SOLAR VINA CO_LTD,Mono-c-Si,540,498.7,2.59,,,72,13.86,49.6,12.97,41.64,0.0584,-0.2935,45.4,-0.3945
MECEN SOLAR VINA CO LTD MC7G72M-545,MECEN SOLAR VINA CO_LTD,Mono-c-Si,545,503.4,2.59,,,72,13.93,49.76,13.04,41.8,0.0584,-0.2935,45.4,-0.3945
MECEN SOLAR VINA CO LTD MC7G72M-550,MECEN SOLAR VINA CO_LTD,Mono-c-Si,550,508.2,2.59,,,72,14,49.92,13.11,41.96,0.0584,-0.2935,45.4,-0.3945
"Merlin Solar Technologies, Inc_ Solstice Shingle 68W-01","Merlin Solar Technologies, Inc",Mono-c-Si,68,60.8,0.53,,,14,9.3,9.37,8.83,7.7,0.037,-0.263,53.61,-0.342
"Merlin Solar Technologies, Inc_ Solstice Shingle 70W-01","Merlin Solar Technologies, Inc",Mono-c-Si,70,62.6,0.53,,,14,9.44,9.51,8.96,7.82,0.037,-0.263,53.61,-0.342
"Merlin Solar Technologies, Inc_ Solstice Shingle 72W-01","Merlin Solar Technologies, Inc",Mono-c-Si,72,64.4,0.53,,,14,9.57,9.65,9.08,7.93,0.037,-0.263,53.61,-0.342
"Merlin Solar Technologies, Inc_ FXS 95-B","Merlin Solar Technologies, Inc",Mono-c-Si,95,83.8,0.75,,,24,8.46,15.08,8.1,11.84,0.051,-0.31,51.28,-0.413
"Merlin Solar Technologies, Inc_ FXS 100-B","Merlin Solar Technologies, Inc",Mono-c-Si,100,88.3,0.75,,,24,8.55,15.33,8.18,12.3,0.051,-0.31,51.28,-0.413
"Merlin Solar Technologies, Inc_ FXS 100-W","Merlin Solar Technologies, Inc",Mono-c-Si,100,91.5,0.75,,,24,8.65,15.21,8.31,12.06,0.032,-0.307,44.65,-0.399
"Merlin Solar Technologies, Inc_ FX105","Merlin Solar Technologies, Inc",Mono-c-Si,105,96,0.757,,,24,8.85,15.4,8.6,12.5,0.045,-0.31,45.28,-0.395
"Merlin Solar Technologies, Inc_ FXS 105-W","Merlin Solar Technologies, Inc",Mono-c-Si,105,96.2,0.75,,,24,8.81,15.5,8.5,12.36,0.032,-0.307,44.65,-0.399
"Merlin Solar Technologies, Inc_ FX110","Merlin Solar Technologies, Inc",Mono-c-Si,110,100.7,0.757,,,24,8.98,15.6,8.65,12.7,0.045,-0.31,45.28,-0.395
"Merlin Solar Technologies, Inc_ RFP-F024B114L","Merlin Solar Technologies, Inc",Mono-c-Si,114,101.9,0.76,,,24,8.97,16.25,8.49,13.43,0.043,-0.266,55.49,-0.331
"Merlin Solar Technologies, Inc_ RFP-F024B117L","Merlin Solar Technologies, Inc",Mono-c-Si,117,104.7,0.76,,,24,9.02,16.3,8.59,13.62,0.043,-0.266,55.49,-0.331
"Merlin Solar Technologies, Inc_ RFP-F024W117L","Merlin Solar Technologies, Inc",Mono-c-Si,117,105.9,0.76,,,24,9.15,16.25,8.67,13.49,0.053,-0.262,53.69,-0.317
"Merlin Solar Technologies, Inc_ RFP-F024B120L","Merlin Solar Technologies, Inc",Mono-c-Si,120,107.5,0.76,,,24,9.07,16.35,8.69,13.81,0.043,-0.266,55.49,-0.331
"Merlin Solar Technologies, Inc_ RFP-F024W120L","Merlin Solar Technologies, Inc",Mono-c-Si,120,108.7,0.76,,,24,9.2,16.3,8.77,13.69,0.053,-0.262,53.69,-0.317
"Merlin Solar Technologies, Inc_ RFP-F024W123L","Merlin Solar Technologies, Inc",Mono-c-Si,123,111.5,0.76,,,24,9.25,16.35,8.87,13.89,0.053,-0.262,53.69,-0.317
"Merlin Solar Technologies, Inc_ FXS 145L-B","Merlin Solar Technologies, Inc",Mono-c-Si,145,128,1.11,,,36,8.35,22.67,8.1,18.02,0.051,-0.31,51.28,-0.413
"Merlin Solar Technologies, Inc_ FXS 145S-B","Merlin Solar Technologies, Inc",Mono-c-Si,145,128.2,1.05,,,36,8.35,22.67,8.1,18.02,0.051,-0.31,51.28,-0.413
"Merlin Solar Technologies, Inc_ FX 150L-B","Merlin Solar Technologies, Inc",Mono-c-Si,150,134.1,1.11,,,36,8.35,22.67,8.1,18.58,0.031,-0.313,49,-0.41
"Merlin Solar Technologies, Inc_ FXS 150L-B","Merlin Solar Technologies, Inc",Mono-c-Si,150,132.5,1.11,,,36,8.46,23.01,8.21,18.35,0.051,-0.31,51.28,-0.413
"Merlin Solar Technologies, Inc_ FXS 150L-W","Merlin Solar Technologies, Inc",Mono-c-Si,150,137.3,1.11,,,36,8.61,22.67,8.35,18.02,0.032,-0.307,44.65,-0.399
"Merlin Solar Technologies, Inc_ FXS 150S-B","Merlin Solar Technologies, Inc",Mono-c-Si,150,132.7,1.05,,,36,8.46,23.01,8.21,18.35,0.051,-0.31,51.28,-0.413
"Merlin Solar Technologies, Inc_ FXS 150S-W","Merlin Solar Technologies, Inc",Mono-c-Si,150,137.5,1.05,,,36,8.61,22.67,8.35,18.02,0.032,-0.307,44.65,-0.399
"Merlin Solar Technologies, Inc_ FX 155L-B","Merlin Solar Technologies, Inc",Mono-c-Si,155,138.7,1.11,,,36,8.46,23.01,8.21,18.92,0.031,-0.313,49,-0.41
"Merlin Solar Technologies, Inc_ FX155L","Merlin Solar Technologies, Inc",Mono-c-Si,155,141.7,1.113,,,36,8.84,22.94,8.45,18.8,0.044,-0.31,45.28,-0.396
"Merlin Solar Technologies, Inc_ FX155S","Merlin Solar Technologies, Inc",Mono-c-Si,155,141.8,1.054,,,36,8.84,22.94,8.45,18.8,0.044,-0.31,45.28,-0.396
"Merlin Solar Technologies, Inc_ FXS 155L-B","Merlin Solar Technologies, Inc",Mono-c-Si,155,137.1,1.11,,,36,8.55,23.25,8.28,18.75,0.051,-0.31,51.28,-0.413
"Merlin Solar Technologies, Inc_ FXS 155L-W","Merlin Solar Technologies, Inc",Mono-c-Si,155,142,1.11,,,36,8.72,23.01,8.46,18.35,0.032,-0.307,44.65,-0.399
"Merlin Solar Technologies, Inc_ FXS 155S-B","Merlin Solar Technologies, Inc",Mono-c-Si,155,137.3,1.05,,,36,8.55,23.25,8.28,18.75,0.051,-0.31,51.28,-0.413
"Merlin Solar Technologies, Inc_ FXS 155S-W","Merlin Solar Technologies, Inc",Mono-c-Si,155,142.2,1.05,,,36,8.72,23.01,8.46,18.35,0.032,-0.307,44.65,-0.399
"Merlin Solar Technologies, Inc_ FX 160L-B","Merlin Solar Technologies, Inc",Mono-c-Si,160,143.3,1.11,,,36,8.55,23.25,8.28,19.34,0.031,-0.313,49,-0.41
"Merlin Solar Technologies, Inc_ FX160L","Merlin Solar Technologies, Inc",Mono-c-Si,160,146.3,1.113,,,36,8.88,23.12,8.55,18.89,0.044,-0.31,45.28,-0.396
"Merlin Solar Technologies, Inc_ FX160S","Merlin Solar Technologies, Inc",Mono-c-Si,160,146.5,1.054,,,36,8.88,23.12,8.55,18.89,0.044,-0.31,45.28,-0.396
"Merlin Solar Technologies, Inc_ FXS 160L-W","Merlin Solar Technologies, Inc",Mono-c-Si,160,146.7,1.11,,,36,8.81,23.25,8.54,18.75,0.032,-0.307,44.65,-0.399
"Merlin Solar Technologies, Inc_ FXS 160S-W","Merlin Solar Technologies, Inc",Mono-c-Si,160,146.9,1.05,,,36,8.81,23.25,8.54,18.75,0.032,-0.307,44.65,-0.399
"Merlin Solar Technologies, Inc_ GX160","Merlin Solar Technologies, Inc",Mono-c-Si,160,141.3,1.011,,,36,8.95,22.85,8.6,18.7,0.046,-0.332,51.86,-0.421
"Merlin Solar Technologies, Inc_ FX165L","Merlin Solar Technologies, Inc",Mono-c-Si,165,151,1.113,,,36,8.95,23.28,8.65,18.98,0.044,-0.31,45.28,-0.396
"Merlin Solar Technologies, Inc_ FX165S","Merlin Solar Technologies, Inc",Mono-c-Si,165,151.2,1.054,,,36,8.95,23.28,8.65,18.98,0.044,-0.31,45.28,-0.396
"Merlin Solar Technologies, Inc_ GX165","Merlin Solar Technologies, Inc",Mono-c-Si,165,145.8,1.011,,,36,9.05,23.1,8.74,18.95,0.046,-0.332,51.86,-0.421
"Merlin Solar Technologies, Inc_ GX170","Merlin Solar Technologies, Inc",Mono-c-Si,170,150.4,1.011,,,36,9.15,23.4,8.9,19.15,0.046,-0.332,51.86,-0.421
"Merlin Solar Technologies, Inc_ RFP-F036B170L","Merlin Solar Technologies, Inc",Mono-c-Si,170,152.2,1.09,,,36,8.96,24.36,8.49,20.07,0.043,-0.266,55.49,-0.331
"Merlin Solar Technologies, Inc_ RFP-F036B170S","Merlin Solar Technologies, Inc",Mono-c-Si,170,152.2,1.09,,,36,8.96,24.36,8.49,20.07,0.043,-0.266,55.49,-0.331
"Merlin Solar Technologies, Inc_ RFP-F036B175L","Merlin Solar Technologies, Inc",Mono-c-Si,175,156.8,1.09,,,36,9.02,24.45,8.59,20.4,0.043,-0.266,55.49,-0.331
"Merlin Solar Technologies, Inc_ RFP-F036B175S","Merlin Solar Technologies, Inc",Mono-c-Si,175,156.8,1.09,,,36,9.02,24.45,8.59,20.4,0.043,-0.266,55.49,-0.331
